-1 1:1 2:1 3:0 4:0 5:1 6:1 7:1 8:4 9:3 10:5 11:3 12:5 13:10
-1 1:8 2:9 3:0 4:9 5:5 6:5 7:3 8:33 9:31 10:57 11:15 12:12 13:52
-1 1:4 2:13 3:0 4:0 5:7 6:7 7:3 8:44 9:65 10:116 11:24 12:16 13:53
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:1 9:1 10:3 11:1 12:3 13:2
-1 1:3 2:7 3:0 4:0 5:4 6:4 7:1 8:35 9:46 10:76 11:23 12:13 13:40
+1 1:6 2:13 3:0 4:4 5:7 6:6 7:1 8:66 9:86 10:127 11:34 12:14 13:78
+1 1:2 2:3 3:1 4:10 5:2 6:2 7:1 8:6 9:11 10:9 11:6 12:7 13:20
+1 1:5 2:11 3:0 4:4 5:6 6:5 7:1 8:54 9:62 10:93 11:22 12:14 13:65
-1 1:2 2:7 3:0 4:0 5:4 6:4 7:3 8:33 9:44 10:80 11:21 12:13 13:38
+1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:7 9:12 10:19 11:7 12:4 13:9
-1 1:2 2:1 3:0 4:0 5:1 6:1 7:1 8:6 9:8 10:8 11:6 12:4 13:10
+1 1:3 2:9 3:0 4:3 5:1 6:1 7:1 8:24 9:22 10:33 11:13 12:11 13:33
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:1 9:1 10:2 11:1 12:2 13:4
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:7 9:10 10:15 11:8 12:8 13:12
+1 1:5 2:9 3:0 4:3 5:5 6:4 7:3 8:25 9:31 10:52 11:19 12:13 13:35
-1 1:3 2:6 3:0 4:0 5:2 6:2 7:1 8:36 9:48 10:101 11:29 12:12 13:41
+1 1:5 2:17 3:0 4:7 5:9 6:8 7:1 8:82 9:107 10:167 11:36 12:15 13:96
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:3 9:3 10:3 11:3 12:3 13:5
-1 1:1 2:1 3:0 4:0 5:1 6:1 7:1 8:5 9:5 10:7 11:4 12:4 13:7
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:10 9:19 10:29 11:14 12:8 13:16
+1 1:4 2:7 3:0 4:0 5:4 6:4 7:1 8:13 9:34 10:52 11:18 12:13 13:19
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:5 9:6 10:9 11:5 12:7 13:7
+1 1:5 2:7 3:0 4:3 5:4 6:4 7:1 8:27 9:27 10:48 11:14 12:11 13:37
