+1 1:1 2:5 3:0 4:1 5:3 6:2 7:1 8:18 9:30 10:50 11:13 12:12 13:24
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:10 9:10 10:12 11:10 12:6 13:16
+1 1:0 2:7 3:0 4:0 5:4 6:4 7:1 8:21 9:30 10:46 11:19 12:11 13:25
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:2 9:4 10:3 11:4 12:2 13:5
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:4 9:4 10:7 11:3 12:6 13:6
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:3 9:3 10:3 11:3 12:3 13:4
-1 1:2 2:1 3:0 4:0 5:1 6:1 7:1 8:8 9:7 10:12 11:5 12:5 13:12
-1 1:2 2:5 3:0 4:0 5:2 6:2 7:1 8:24 9:20 10:45 11:14 12:12 13:28
-1 1:2 2:5 3:0 4:0 5:3 6:3 7:1 8:14 9:17 10:21 11:9 12:12 13:18
+1 1:0 2:5 3:0 4:0 5:2 6:2 7:1 8:17 9:12 10:25 11:8 12:13 13:19
+1 1:23 2:25 3:0 4:22 5:13 6:12 7:11 8:112 9:125 10:240 11:39 12:27 13:165
-1 1:1 2:1 3:0 4:0 5:1 6:1 7:1 8:4 9:5 10:7 11:5 12:6 13:7
+1 1:4 2:1 3:0 4:5 5:1 6:1 7:1 8:9 9:18 10:19 11:12 12:6 13:27
+1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:5 9:5 10:8 11:5 12:7 13:9
+1 1:9 2:13 3:0 4:3 5:7 6:7 7:1 8:47 9:54 10:113 11:35 12:15 13:61
+1 1:3 2:9 3:0 4:0 5:5 6:4 7:3 8:35 9:38 10:57 11:18 12:13 13:40
-1 1:0 2:1 3:0 4:0 5:1 6:1 7:1 8:3 9:4 10:5 11:4 12:3 13:5
+1 1:3 2:3 3:0 4:2 5:2 6:2 7:1 8:18 9:15 10:23 11:13 12:9 13:25
-1 1:3 2:3 3:0 4:0 5:2 6:2 7:1 8:13 9:12 10:18 11:9 12:9 13:20
